Crop,Stage,N (kg/ha),P (kg/ha),K (kg/ha),pH,Organic_Carbon,Temp (°C),Rainfall (mm),Soil_Type,Fertilizer_Recommendation,Urea,DAP,MOP,SSP,Compost
Mustard,Flowering,12,36,18,6.6,0.65,27,80,Clay Loam,54kg Urea/acre,54,0,0,0,0
Mustard,Vegetative,76,16,12,7.9,0.73,27,110,Clay Loam,35kg Urea/acre,35,0,0,0,0
Rice,Sowing,59,16,45,7.5,0.41,25,13,Clay Loam,24kg MOP/acre,0,0,24,0,0
Wheat,Tillering,68,8,43,7.2,0.85,27,49,Alluvial,42kg DAP + 59kg MOP + 30kg Urea/acre,30,42,59,0,0
Rice,Flowering,56,21,17,7.7,0.47,29,20,Black Soil,31kg Urea/acre,31,0,0,0,0
Mustard,Flowering,27,23,25,6.9,1.03,19,75,Alluvial,39kg Urea/acre,39,0,0,0,0
Wheat,Flowering,50,43,6,7.3,1.3,26,83,Loamy,43kg Urea + 48kg DAP/acre,43,48,0,0,0
Rice,Sowing,33,39,35,6.1,0.73,23,85,Loamy,42kg MOP/acre,0,0,42,0,0
Cotton,Vegetative,62,21,9,5.6,0.4,25,21,Black Soil,20kg Urea/acre,20,0,0,0,0
Maize,Grain Fill,76,11,10,7.2,0.74,28,28,Clay Loam,30kg Urea + 52kg MOP + 60kg SSP/acre,30,0,52,60,0
Rice,Flowering,10,13,39,5.7,1.28,30,116,Sandy Loam,49kg DAP + 29kg Urea/acre,29,49,0,0,0
Rice,Flowering,21,37,42,6.5,1.3,35,75,Sandy Loam,26kg Urea + 21kg DAP + 40kg MOP/acre,26,21,40,0,0
Maize,Grain Fill,62,44,25,6.6,0.32,19,21,Sandy Loam,38kg Urea + 27kg SSP + 52kg MOP/acre,38,0,52,27,0
Rice,Vegetative,56,16,6,5.7,0.97,34,13,Alluvial,50kg Urea + 50kg MOP + 48kg DAP/acre,50,48,50,0,0
Cotton,Flowering,58,7,37,6.7,0.32,29,28,Sandy Loam,27kg DAP + 41kg Urea/acre,41,27,0,0,0
Mustard,Vegetative,44,9,30,7.1,0.65,30,58,Loamy,34kg SSP/acre,0,0,0,34,0
Maize,Grain Fill,20,10,44,7.0,0.79,18,6,Black Soil,53kg SSP + 22kg MOP/acre,0,0,22,53,0
Maize,Flowering,70,46,42,7.8,1.45,20,93,Sandy Loam,23kg Urea + 57kg SSP + 27kg MOP/acre,23,0,27,57,0
Cotton,Flowering,26,11,19,6.5,1.06,37,115,Clay Loam,53kg Urea/acre,53,0,0,0,0
Rice,Grain Fill,71,20,34,7.7,1.39,35,95,Loamy,35kg Urea/acre,35,0,0,0,0
Cotton,Flowering,25,36,24,6.5,0.58,19,63,Black Soil,60kg Urea + 52kg DAP + 58kg MOP/acre,60,52,58,0,0
Rice,Sowing,47,47,21,6.1,1.47,26,87,Alluvial,44kg Urea/acre,44,0,0,0,0
Mustard,Sowing,51,22,23,6.4,1.3,30,67,Black Soil,46kg Urea/acre,46,0,0,0,0
Maize,Vegetative,66,20,11,6.0,0.34,29,21,Black Soil,35kg Urea + 58kg MOP + 56kg SSP/acre,35,0,58,56,0
Rice,Vegetative,17,44,31,7.8,1.14,18,62,Alluvial,42kg MOP + 27kg Urea + 49kg DAP/acre,27,49,42,0,0
Cotton,Boll Formation,69,7,49,6.7,0.97,26,90,Sandy Loam,49kg MOP/acre,0,0,49,0,0
Maize,Vegetative,40,16,29,7.1,0.5,33,28,Alluvial,50kg SSP + 35kg MOP + 20kg Urea/acre,20,0,35,50,0
Wheat,Sowing,27,25,26,5.6,1.17,28,67,Sandy Loam,40kg DAP + 51kg Urea + 23kg MOP/acre,51,40,23,0,0
Maize,Flowering,19,41,38,7.7,1.2,37,110,Sandy Loam,59kg SSP + 29kg Urea/acre,29,0,0,59,0
Wheat,Tillering,13,10,18,7.5,0.61,37,89,Alluvial,49kg DAP + 32kg MOP + 53kg Urea/acre,53,49,32,0,0
Mustard,Sowing,69,13,47,5.6,1.17,24,26,Sandy Loam,48kg Urea/acre,48,0,0,0,0
Maize,Grain Fill,72,45,33,6.6,1.0,32,100,Clay Loam,27kg Urea + 45kg SSP + 35kg MOP/acre,27,0,35,45,0
Mustard,Sowing,40,22,15,7.3,1.32,32,101,Loamy,30kg SSP + 26kg Urea/acre,26,0,0,30,0
Rice,Sowing,80,9,39,5.5,1.02,22,117,Loamy,41kg Urea + 54kg MOP + 37kg DAP/acre,41,37,54,0,0
Rice,Vegetative,16,40,48,5.5,1.1,22,28,Alluvial,23kg Urea + 38kg MOP + 22kg DAP/acre,23,22,38,0,0
Cotton,Sowing,59,7,28,6.4,1.15,28,17,Sandy Loam,21kg MOP/acre,0,0,21,0,0
Mustard,Sowing,73,19,29,6.6,0.66,30,97,Black Soil,30kg SSP + 38kg Urea/acre,38,0,0,30,0
Mustard,Flowering,77,22,36,7.8,0.98,37,90,Clay Loam,34kg SSP/acre,0,0,0,34,0
Cotton,Flowering,65,41,18,7.2,0.98,29,61,Loamy,57kg Urea + 52kg MOP + 39kg DAP/acre,57,39,52,0,0
Rice,Flowering,31,46,14,7.5,0.65,30,94,Black Soil,59kg MOP + 57kg DAP + 40kg Urea/acre,40,57,59,0,0
Mustard,Sowing,31,43,8,6.5,0.7,20,42,Sandy Loam,37kg Urea + 42kg SSP/acre,37,0,0,42,0
